4.83442,-0.44369,2.8,LA SGR
4.34535,-0.49246,2.8,TA SCO
0.05775,0.26500,2.8,GA PEG
3.41288,0.19127,2.8,EP VIR
1.43224,-0.36232,2.8,BE LEP
1.02159,0.55647,2.9,ZE PER
4.16758,-1.10707,2.9,BE TRA
4.56097,-0.96918,2.9,BE ARA
0.51823,-1.07460,2.9,AL HYI
5.84032,-1.05173,2.9,AL TUC
0.99258,0.42071,2.9,ET TAU
5.17042,0.78768,2.9,DE CYG
5.70303,-0.28147,2.9,DE CAP
1.67098,0.39294,2.9,MY GEM
1.03783,0.69831,2.9,EP PER
4.00950,-1.19868,2.9,GA TRA
4.18377,-0.45578,2.9,PI SCO
4.28123,-0.44668,2.9,SI SCO
5.01678,-0.36693,2.9,PI SGR
1.95106,0.14467,2.9,BE CMI
3.38606,0.66878,2.9,AL2 CVN
5.63548,-0.09723,2.9,BE AQR
0.80632,0.93386,2.9,GA PER
1.78868,-0.88339,2.9,TA PUP
5.94722,0.52746,2.9,ET PEG
1.03859,-0.23577,3.0,GA ERI
3.27190,-0.28825,3.0,DE CRV
4.58952,-0.87050,3.0,AL ARA
2.56171,-1.13571,3.0,YP CAR
5.78481,-0.00560,3.0,AL AQR
1.76248,0.43862,3.0,EP GEM
2.55625,0.41494,3.0,EP LEO
1.31759,0.76486,3.0,EP AUR
4.73773,-0.53100,3.0,GA2 SGR
4.99779,0.24196,3.0,ZE AQL
0.56523,0.61064,3.0,BE TRI
1.47325,0.36901,3.0,ZE TAU
3.18576,-0.39479,3.0,EP CRV
3.48595,-0.40442,3.0,GA HYA
0.97269,0.83405,3.0,DE PER
2.92195,0.77664,3.0,PS UMA
5.73309,-0.65214,3.0,GA GRU
1.65942,-0.52470,3.0,ZE CMA
1.84579,-0.41597,3.0,OK2 CMA
3.80515,0.66860,3.0,GA BOO
4.65821,-0.70035,3.0,JO1 SCO
0.60801,-0.05197,3.0,OK CET
3.61988,-0.74131,3.0,MY CEN
2.71542,0.72430,3.0,MY UMA
3.34353,-1.18871,3.0,BE MUS
4.01743,1.25374,3.0,GA UMI
5.02896,1.18092,3.1,DE DRA
4.41511,-0.66405,3.1,MY1 SCO
5.10823,0.48799,3.1,BE1 CYG
5.32766,-0.25798,3.1,BE CAP
2.33609,0.10377,3.1,ZE HYA
2.83452,-0.28263,3.1,NY HYA
4.78929,-0.64161,3.1,ET SGR
5.39990,-0.82539,3.1,AL IND
1.53134,-0.62428,3.1,BE COL
2.44806,0.60026,3.1,AL LYN
2.49242,-0.99544,3.1,
3.03591,-1.09990,3.1,LA CEN
3.92333,-0.73486,3.1,KA CEN
4.44456,-0.97721,3.1,ZE ARA
2.35273,0.83849,3.1,JO UMA
4.51617,0.43353,3.1,DE HER
4.51624,0.64244,3.2,PI HER
1.33742,0.71968,3.2,ET AUR
1.73556,-0.75391,3.2,NY PUP
2.49955,0.90194,3.2,TH UMA
4.48892,1.14694,3.2,ZE DRA
4.91160,-0.47108,3.2,PH SGR
1.26466,0.12150,3.2,PI3 ORI
1.33282,-0.39045,3.2,EP LEP
3.85065,-1.13403,3.2,AL CIR
4.44041,0.16362,3.2,KA OPH
5.55423,0.52756,3.2,ZE CYG
4.66813,-0.64653,3.2,
6.19307,1.35494,3.2,GA CEP
4.02024,-0.70944,3.2,DE LUP
5.28531,-0.01435,3.2,TH AQL
5.62283,1.23152,3.2,BE CEP
0.99153,-1.29572,3.2,GA HYI
4.26873,-0.08190,3.2,EP OPH
4.96957,0.57054,3.2,GA LYR
1.96014,-0.75575,3.2,SI PUP
4.80536,-0.05060,3.3,ET SER
0.17159,0.53863,3.3,DE AND
1.19554,-0.96072,3.3,AL DOR
1.78106,-1.08108,3.3,AL PIC
3.69299,-0.46569,3.3,PI HYA
4.54662,-0.43632,3.3,TH OPH
5.99803,-0.27613,3.3,DE AQR
1.63571,0.39282,3.3,ET GEM
3.94474,-0.44125,3.3,SI LIB
4.03575,1.02915,3.3,JO DRA
0.28834,-0.81540,3.3,BE PHE
1.36541,-0.28284,3.3,MY LEP
3.20890,0.99540,3.3,DE UMA
2.67794,-1.22239,3.3,OM CAR
2.75772,-1.07661,3.3,
5.00446,-0.48294,3.3,TA SGR
4.50361,-0.75467,3.3,ET SCO
2.04768,-0.43388,3.3,XI PUP
2.94192,0.26929,3.3,TH LEO
4.56138,-0.98397,3.3,GA ARA
4.70813,-0.17058,3.3,NY OPH
1.11014,-1.09038,3.4,AL RET
5.80694,1.01581,3.4,ZE CEP
1.41580,-0.04183,3.4,ET ORI
1.76840,0.22507,3.4,XI GEM
2.22644,1.05973,3.4,OK UMA
5.08544,0.05436,3.4,DE AQL
3.55476,-0.01042,3.4,ZE VIR
4.02595,-0.77998,3.4,EP LUP
0.49914,1.11126,3.4,EP CAS
2.29849,0.11203,3.4,EP HYA
3.38420,0.05930,3.4,DE VIR
0.80798,0.67789,3.4,RH PER
1.17226,0.27700,3.4,TH2 TAU
2.69253,-1.07045,3.4,
5.94049,0.18904,3.4,ZE PEG
0.38557,-0.75605,3.4,GA PHE
0.49340,0.51625,3.4,AL TRI
3.61939,-0.72759,3.4,NY CEN
3.98059,-0.90930,3.4,ZE LUP
4.18931,-0.67015,3.4,ET LUP
0.77781,-0.70345,3.4,TH1 ERI
4.65330,0.48382,3.4,MY HER
5.43215,-1.15546,3.4,BE PAV
5.43360,1.07929,3.4,ET CEP
0.21424,1.00908,3.4,ET CAS
2.40404,-1.02917,3.4,
2.69081,0.40871,3.4,ZE LEO
5.00144,-0.08522,3.4,LA AQL
0.29927,-0.17771,3.5,ET CET
2.69258,0.74900,3.5,LA UMA
4.93090,0.58229,3.5,BE LYR
0.71253,0.05648,3.5,GA CET
1.05016,0.21800,3.5,LA TAU
1.84009,-0.48756,3.5,SI CMA
2.08034,-0.92471,3.5,CH CAR
3.99463,0.58145,3.5,DE BOO
5.23056,0.34020,3.5,GA SGE
2.96042,0.57760,3.5,NY UMA
